Fecha,Mes,Región,Precio_KRONOS,Precio_Competencia,Índice_Precio,Market_Share,Dist_Ponderada,Dist_Numérica,Share_en_Distribución,Promoción,Quiebre,Tamaño_Mercado,Unidades_KRONOS,Costo_Unitario,Ventas_KRONOS,Contribución
2022-01-01,1,Norte,12180.62,12248.36,0.9945,0.3146,0.8024,0.773,0.3921,0,0.0012,54569,17167,8083.71,209104646.12,70331555.56
2022-02-01,2,Norte,11463.58,11709.56,0.979,0.2925,0.7414,0.6899,0.3945,0,0.0069,47227,13814,7696.15,158357902.67,52043277.4
2022-03-01,3,Norte,10893.73,11545.99,0.9435,0.3239,0.8433,0.8113,0.3841,0,0.018,49322,15974,8036.67,174016447.83,45638749.14
2022-04-01,4,Norte,12143.27,11699.87,1.0379,0.2954,0.7846,0.7381,0.3765,1,0.0137,48093,14206,8246.76,172507295.06,55353773.15
2022-05-01,5,Norte,11155.6,12104.43,0.9216,0.3361,0.7036,0.6254,0.4777,1,0.0298,50590,17002,8221.54,189667580.28,49884957.64
2022-06-01,6,Norte,11798.34,11942.18,0.988,0.2837,0.6961,0.6263,0.4075,0,0.0066,47840,13570,7660.83,160103508.1,56145986.53
2022-07-01,7,Norte,12727.52,12291.06,1.0355,0.3033,0.8147,0.7903,0.3723,0,0.0025,52264,15852,8099.38,201756587.28,73365230.91
2022-08-01,8,Norte,11673.08,11760.41,0.9926,0.2695,0.7147,0.6509,0.3772,0,0.0436,46411,12509,7688.65,146018505.59,49841169.76
2022-09-01,9,Norte,12883.85,12486.48,1.0318,0.297,0.8448,0.7951,0.3516,0,0.0112,51014,15152,8026.11,195216084.55,73604403.4
2022-10-01,10,Norte,11088.2,12045.88,0.9205,0.3096,0.759,0.7144,0.4079,0,0.0052,51071,15813,7936.35,175337701.73,49840174.3
2022-11-01,11,Norte,12818.27,12250.72,1.0463,0.3341,0.7829,0.7517,0.4267,1,0.0446,50943,17017,8411.56,218128486.54,74988993.16
2022-12-01,12,Norte,12164.29,11845.36,1.0269,0.299,0.7572,0.7115,0.3949,0,0.0394,48896,14619,8001.53,177829787.2,60855361.12
2023-01-01,1,Norte,11102.31,11292.31,0.9832,0.3064,0.7529,0.6763,0.407,0,0.0146,47593,14582,7717.08,161893917.31,49363413.63
2023-02-01,2,Norte,11188.06,11990.72,0.9331,0.2999,0.7164,0.6942,0.4186,0,0.014,47022,14100,7942.29,157751692.2,45765379.08
2023-03-01,3,Norte,11422.49,11982.64,0.9533,0.3398,0.8271,0.7929,0.4109,0,0.0092,52255,17758,8421.56,202840577.33,53290486.58
2023-04-01,4,Norte,11595.23,11559.68,1.0031,0.3107,0.7453,0.7141,0.4168,1,0.0179,52769,16393,7534.8,190080684.56,66562692.25
2023-05-01,5,Norte,11686.11,11468.85,1.0189,0.3063,0.724,0.6478,0.423,1,0.003,54649,16737,7765.02,195590431.94,65627225.04
2023-06-01,6,Norte,11795.92,12406.76,0.9508,0.3356,0.7814,0.7296,0.4296,0,0.002,53921,18098,7567.99,213482508.59,76517069.63
